main | Главная | Crossceed Finance
roadmap_4_2022_item_2 | Приссейл NFT | Приссейл NFT
roadmap_4_2022_item_3 | Дроп приссейла на токен | Дроп приссейла на токен
roadmap_4_2022_item_4 | Модефикация и подключение токена к Маркетплейсу | Модефикация и подключение токена к Маркетплейсу
roadmap_4_2022_item_5 | Анонсирование Экосистемы Гаргон | Анонсирование Экосистемы Гаргон
roadmap_1_2023_item_1 | Подключение малого бизнеса к экосистеме | Подключение малого бизнеса к экосистеме
roadmap_1_2023_item_2 | Приватное анонсирование инструментов для участников клуба в статусе VIP | Приватное анонсирование инструментов для участников клуба в статусе VIP
roadmap_1_2023_item_3 | Начала разработки "P2E" | Начала разработки "P2E"
roadmap_1_2023_item_4 | Старт общедоступных продаж Токена | Старт общедоступных продаж Токена
roadmap_1_2023_item_5 | Старт Продаж NFT в единичных экземплярах на маркетплейсе GRN | Старт Продаж NFT в единичных экземплярах на маркетплейсе GRN
roadmap_2_2023_item_1 | Презентация Blockchain Game на основе "GRN" | Презентация Blockchain Game на основе "GRN"
roadmap_2_2023_item_2 | Проработка планпроекта по постройке города будущего | Проработка планпроекта по постройке города будущего
roadmap_2_2025_item_1 | Покупка территориальных ценностей под застройку города будущего | Покупка территориальных ценностей под застройку города будущего
roadmap_2_2025_item_2 | Поиск партнёров и инноваторов под застройку города будущего | Поиск партнёров и инноваторов под застройку города будущего
roadmap_2_2025_item_3 | Презентация проектов инноваторов | Презентация проектов инноваторов
roadmap_3_2026_item_1 | Выделение земляных участков партнерам под застройку инновационного города | Выделение земляных участков партнерам под застройку инновационного города
roadmap_title | Дорожная карта | Дорожная карта
watch_more | Смотреть ещё | Смотреть ещё
team_title | Команда | Команда
team_user_1 | Игорь Данилов | Игорь Данилов
team_user_2 | Марина Ящук | Марина Ящук
team_user_3 | Марк Браун | Марк Браун
team_user_4 | Дмитрий Полещук | Дмитрий Полещук
team_user_5 | Александра Гросс | Александра Гросс
team_user_1_o | Founder, CEO | Founder, CEO
team_user_2_o | CTO | CTO
team_user_3_o | CMO | CMO
team_user_4_o | Support Manager | Support Manager
team_user_5_o | Content Manager | Content Manager
partners_title | Партнёры | Партнёры
info_title_1 | Покупка, продажа и обмен криптовалют | Покупка, продажа и обмен криптовалют
info_title_2 | Покупка криптовалюты | Покупка криптовалюты
info_title_3 | Продажа криптовалюты | Продажа криптовалюты
info_title_4 | Обмен криптовалюты | Обмен криптовалюты
info_text_1 | Практическое использование и работа с криптовалютами так или иначе вынуждает к ознакомлению с информацией общего представления о явлении, определениях, технологиях, терминах, принципах и рисках при покупке, продаже или обмене | Практическое использование и работа с криптовалютами так или иначе вынуждает к ознакомлению с информацией общего представления о явлении, определениях, технологиях, терминах, принципах и рисках при покупке, продаже или обмене
info_text_2 | У большинства людей потребности в покупке криптовалют нет, так как их интересы ограничены финансовой моделью, в которой они живут. Получил зарплату в фиате, заплатил налоги, обеспечил себя пищей и одеждой и на этом все, достаточно. Даже владельцы интернет-магазинов, вебмастера, фрилансеры, чья львиная доля расчетов производится в цифровых деньгах, стараются воздерживаться от операций в криптовалюте ввиду сильных колебаний курсов и достаточно низкой скорости проведения операций. Покупка криптовалют - удел людей, понимающих основу общепринятой финансовой системы и сопровождающей последнюю явлений типа инфляции, колебания обменного курса, зависимостью от рынка углеводородов, запуском печатного станка и многих иных, далеких от понятия стабильности, обстоятельств. Контролирующие печатный станок люди могут легко и непринужденно обесценить результаты труда или накопления людей без зазрения совести, что и происходило последние десятилетия. Криптовалюта же явление новое и только те, кто понимает, что она собой представляет, сделали свой вклад, купив за привычные, фиатные деньги ту или иную крипто-единицу. Не обошлось и без коммерческого интереса - и на рынок криптовалют вошли инвесторы и торговцы (трейдеры), покупающие различные крипто-единицы с целью сохранения наработанных активов или же заработка на колебании курсов. Приобретение крипто-единиц типа BTC (биткоина) начинается с регистрации в сервисе, обеспечивающем покупателю возможность приобретения крипто-единицы. Зарегистрировавшись, покупателю присваивается уникальный идентификатор с возможностью привязки или создания неограниченного количества крипто-валютных кошельков. Далее процедура приобретения той или иной крипто-единицы сводится к использованию вполне понятного функционала интерфейса. | У большинства людей потребности в покупке криптовалют нет, так как их интересы ограничены финансовой моделью, в которой они живут. Получил зарплату в фиате, заплатил налоги, обеспечил себя пищей и одеждой и на этом все, достаточно. Даже владельцы интернет-магазинов, вебмастера, фрилансеры, чья львиная доля расчетов производится в цифровых деньгах, стараются воздерживаться от операций в криптовалюте ввиду сильных колебаний курсов и достаточно низкой скорости проведения операций. Покупка криптовалют - удел людей, понимающих основу общепринятой финансовой системы и сопровождающей последнюю явлений типа инфляции, колебания обменного курса, зависимостью от рынка углеводородов, запуском печатного станка и многих иных, далеких от понятия стабильности, обстоятельств. Контролирующие печатный станок люди могут легко и непринужденно обесценить результаты труда или накопления людей без зазрения совести, что и происходило последние десятилетия. Криптовалюта же явление новое и только те, кто понимает, что она собой представляет, сделали свой вклад, купив за привычные, фиатные деньги ту или иную крипто-единицу. Не обошлось и без коммерческого интереса - и на рынок криптовалют вошли инвесторы и торговцы (трейдеры), покупающие различные крипто-единицы с целью сохранения наработанных активов или же заработка на колебании курсов. Приобретение крипто-единиц типа BTC (биткоина) начинается с регистрации в сервисе, обеспечивающем покупателю возможность приобретения крипто-единицы. Зарегистрировавшись, покупателю присваивается уникальный идентификатор с возможностью привязки или создания неограниченного количества крипто-валютных кошельков. Далее процедура приобретения той или иной крипто-единицы сводится к использованию вполне понятного функционала интерфейса.
info_text_3 | Продажи криптовалют в зависимости от объемов проданных единиц напрямую сказываются на курсе последних, что, судя по статистике последнего десятилетия, дело вполне обычное. Людьми, использующими криптовалюту в качестве средства хранения активов, продажа как тип операции востребована крайне редко. Многие известные капиталисты скупают криптовалюту, прекрасно осознавая ее преимущества перед фиатными денежными единицами (уж они-то точно знают, как все работает) и используют в качестве расчетной единицы, уходя от излишнего внимания фискальных органов. Валовые продажи криптовалюты, как правило, вызваны вполне понятными обстоятельствами, связанными с желанием большого количества владельцев активов вывести накопления в фиат. Обычно массовая продажа криптовалюты обусловлена искусственно созданным прецедентом в средствах массовой информации. Информационный вброс заставляет людей, подверженных панике, избавляться от крипто-активов в пользу наиболее “стабильного”, по их мнению. На рынке криптовалют давно и вполне комфортно присутствуют спекулянты, продающие большие объемы криптовалюты с целью заработка на колебании курсов. Полагаю, теперь понятно, кто финансирует разработку и публикацию в СМИ информационных вбросов. Процедура продажи криптовалюты проста и незатейлива, но все же имеет некоторые особенности, а именно: достаточно низкая скорость и колеблющаяся на повышение или понижение стоимость вывода (комиссия сервиса), что обусловлено колебаниями нагрузки на сеть, обеспечивающую проведение операций. Если у человека есть необходимость сохранить активы, криптовалюту он не продает. | Продажи криптовалют в зависимости от объемов проданных единиц напрямую сказываются на курсе последних, что, судя по статистике последнего десятилетия, дело вполне обычное. Людьми, использующими криптовалюту в качестве средства хранения активов, продажа как тип операции востребована крайне редко. Многие известные капиталисты скупают криптовалюту, прекрасно осознавая ее преимущества перед фиатными денежными единицами (уж они-то точно знают, как все работает) и используют в качестве расчетной единицы, уходя от излишнего внимания фискальных органов. Валовые продажи криптовалюты, как правило, вызваны вполне понятными обстоятельствами, связанными с желанием большого количества владельцев активов вывести накопления в фиат. Обычно массовая продажа криптовалюты обусловлена искусственно созданным прецедентом в средствах массовой информации. Информационный вброс заставляет людей, подверженных панике, избавляться от крипто-активов в пользу наиболее “стабильного”, по их мнению. На рынке криптовалют давно и вполне комфортно присутствуют спекулянты, продающие большие объемы криптовалюты с целью заработка на колебании курсов. Полагаю, теперь понятно, кто финансирует разработку и публикацию в СМИ информационных вбросов. Процедура продажи криптовалюты проста и незатейлива, но все же имеет некоторые особенности, а именно: достаточно низкая скорость и колеблющаяся на повышение или понижение стоимость вывода (комиссия сервиса), что обусловлено колебаниями нагрузки на сеть, обеспечивающую проведение операций. Если у человека есть необходимость сохранить активы, криптовалюту он не продает.
info_text_4 | Обмен криптовалют из серии BTC (биткоин) на ETH (этериум), в обратном порядке или с участием другой пары крипто-единиц, как правило, осуществляют майнеры или же спекулянты и в очень редких случаях люди, использующие инструмент как средство хранения активов. Процедура обмена проста и незамысловата, как правило, производится достаточно шустро и с достаточно низкой комиссией. Большинство сервисов обмена предпочитают взимать плату за услуги обмена в своей собственной криптовалюте, что нередко вызывает необходимость обмена части своих активов на эту единицу. Важно помнить, что, в отличие от стандартной банковской операции, сделку обмена отменить невозможно! | Обмен криптовалют из серии BTC (биткоин) на ETH (этериум), в обратном порядке или с участием другой пары крипто-единиц, как правило, осуществляют майнеры или же спекулянты и в очень редких случаях люди, использующие инструмент как средство хранения активов. Процедура обмена проста и незамысловата, как правило, производится достаточно шустро и с достаточно низкой комиссией. Большинство сервисов обмена предпочитают взимать плату за услуги обмена в своей собственной криптовалюте, что нередко вызывает необходимость обмена части своих активов на эту единицу. Важно помнить, что, в отличие от стандартной банковской операции, сделку обмена отменить невозможно!
footer_about_us | О нас | О насs
footer_news | Новости | Новости
footer_agents | Биржевые агенты | Биржевые агенты
footer_vacancies | Список вакансий | Список вакансий
footer_agreement | Соглашения | Соглашения
footer_cash | Сборы банков | Сборы банков
footer_risk | Заявление о рисках | Заявление о рисках
footer_for_partner | Партнёрам | Партнёрам
footer_safe | Безопасность | Безопасность
footer_user_agreement | Пользовательское соглашение | Пользовательское соглашение
footer_policy | Политика конфиденциальности | Политика конфиденциальности
footer_help | Помощь | Помощь
footer_how_work | Как работать на платформе | Как работать на платформе
footer_crypto_wallet | Криптовалютные кошельки | Криптовалютные кошельки
login_verify | Верифицирован | Верифицирован
login_not_verify | Не верифицирован | Не верифицирован
login_vip | Заявка на VIP | Заявка на VIP
login_ref | Рефферальная программа | Рефферальная программа
login_change_pass | Сменить пароль | Сменить пароль
login_to_crossceed | Вход на Crossceed.com | Вход на Crossceed.com
login_auth | Авторизуясь, ты соглашаешься с условиями | Авторизуясь, ты соглашаешься с условиями
login_policy | Политики конфиденциальности | Политики конфиденциальности
login_and | и | и
login_agreement | Пользовательского соглашения | Пользовательского соглашения
login_remember_pass | Не помню пароль | Не помню пароль
login_create_new_acc | Создать аккаунт | Создать аккаунт
registration_title | Регистрация на Crossceed.com | Регистрация на Crossceed.com
registration_name | Ваше имя | Ваше имя
registration_pass | Пароль | Пароль
registration_pass_confirm | Подтвердите пароль | Подтвердите пароль
registration_have_account | У меня есть аккаунт | У меня есть аккаунт
registration_if_click | Нажимая "Создать аккаунт", ты соглашаешься с условиями | Нажимая "Создать аккаунт", ты соглашаешься с условиями
trade_exchange | Обмен | Обмен
trade_error_bid | Не выбран вариант BID | Не выбран вариант BID
trade_error_ask | Не выбран вариант ASK | Не выбран вариант ASK
trade_error_currency | Не выбрана валюта | Не выбрана валюта
trade_error_amount | Не введена сумма | Не введена сумма
trade_balance | Ваш баланс | Ваш баланс
trade_top_bid | Top bid | Top bid
trade_lowest_ask | Lowest ask | Lowest ask
trade_enter_amount | Введите сумму, мин | Введите сумму, мин
trade_accept | Подтвердить | Подтвердить
trade_success_deal | Сделка успешно создана | Сделка успешно создана
trade_success_arbitrage | Арбитраж | Арбитраж
trade_comission_agent_sale | Комиссия агента / продажа | Комиссия агента / продажа
trade_comission_agent_purchase | Комиссия агента / покупка | Комиссия агента / покупка
autorobot_summ_at_work | Сумма в работе | Сумма в работе
autorobot_enter_summ | Введите сумму | Введите сумму
autorobot_not_enougth | Недостаточно средств | Недостаточно средств
autorobot_not_right_summ | Введите правильную сумму для трейда | Введите правильную сумму для трейда
balance_crypto | Криптовалюта | Криптовалюта
balance_total | Всего | Всего
balance_action | Действие | Действие
balance_crypto_wallet | Криптовалютный баланс | Криптовалютный баланс
balance_refresh | Обновить | Обновить
balance_refreshed | Баланс обновлен | Баланс обновлен
history_date | Дата | Дата
history_operation | Операция | Операция
history_status | Статус | Статус
history_finished | Завершён | Завершён
history_expecting | В ожидании | В ожидании
history_title | Исторрия | Исторрия
history_income | Поступление после операции | Поступление после операции
support_date | Дата | Дата
support_topic | Тема запроса | Тема запроса
support_status | Статус | Статус
support_information | Информация | Информация
support_status_open | Открыт | Открыт
support_status_close | Завершен | Завершен
support_title | Поддержка | Поддержка
support_send | Создать запрос | Создать запрос
support_subject | Тема запроса | Тема запроса
support_add_comment | Добавить комментарий | Добавить комментарий
support_add_comment_text_button | Добавить | Добавить
verification_file_1 | 1 страница паспорта | 1 страница паспорта
verification_file_2 | 2 страница паспорта | 2 страница паспорта
verification_data_saved | Данные сохранены | Данные сохранены
verification_file_loaded | Файлы загружены | Файлы загружены
verification_title | Заявка на верификацию аккаунта | Заявка на верификацию аккаунта
verification_already_verify | Аккаунт уже верифицирован | Аккаунт уже верифицирован
verification_fill_data | Укажите ваши данные | Укажите ваши данные
verification_btn | Подтвердить | Подтвердить
verification_file_loaded_waiting | Файлы загружены, дождитесь проверки! | Файлы загружены, дождитесь проверки!
verification_prove_persone | Подтвердите личность | Подтвердите личность
verification_address | Ваш адрес | Ваш адрес
verification_last_name | Ваше фамилия | Ваше фамилия
verification_email | Электронная почта | Электронная почта
verification_patronomic | Патрономик | Патрономик
verification_your_name | Ваше имя | Ваше имя
deposit_title | Пополнение баланса | Пополнение баланса
deposit_choose_crypto | Выберите криптовалюту | Выберите криптовалюту
deposit_choose_amount | Введите количество | Введите количество
deposit_choose_amount_usd | Количество в долларах | Количество в долларах
deposit_btn | Подтвердить | Подтвердить
deposit_go_to_balance | Перейти на страницу баланса | Перейти на страницу баланса
withdrawal_title | Вывод средств | Вывод средств
withdrawal_choose_crypto | Выберите криптовалюту | Выберите криптовалюту
withdrawal_avaliable | Доступно | Доступно
withdrawal_amount | Введите количество | Введите количество
withdrawal_amount_usd | Количество в долларах | Количество в долларах
withdrawal_xml_address | Ваш XLM-address | Ваш XLM-address
withdrawal_min | Min | Min
withdrawal_comission | Комиссия | Комиссия
withdrawal_btn | Создать запрос | Создать запрос
vip_title | Заявка на VIP | Заявка на VIP
vip_title_additional | VIP - клиентам | КриптовVIP - клиентамалютные
vip_text_1 | VIP аккаунт - это кабинет где клиенту предоставляется увеличенное количество ордеров до 7 в день и более короткие промежутки между сделками , а так же увеличенный доход от сделки. | VIP аккаунт - это кабинет где клиенту предоставляется увеличенное количество ордеров до 7 в день и более короткие промежутки между сделками , а так же увеличенный доход от сделки.
vip_condition | Условия получения VIP аккаунта: | Условия получения VIP аккаунта:
vip_verify | Верификация пользoвателя | Верификация пользoвателя
vip_min_balance | Минимальный остаток на счёте для совершения сделок до 7 в сутки составляет | Минимальный остаток на счёте для совершения сделок до 7 в сутки составляет
vip_or | или | или
vip_other | на других криптовалютах это эквивалент | на других криптовалютах это эквивалент
vip_text | Отправляя запрос, вы соглашаетесь с | Отправляя запрос, вы соглашаетесь с
vip_top | выше перечисленными условиями | выше перечисленными условиями
partner_invite_friends | Пригласите друзей | Пригласите друзей
partner_earn_crypto | Зарабатывайте криптовалюту вместе. | Зарабатывайте криптовалюту вместе.
partner_referer_link | Ваша реферальная ссылка | Ваша реферальная ссылка
partner_referer_link_2 | Реферальная ссылка | Реферальная ссылка
partner_rools | Правила | Правила
partner_protect | Защита от накруток ( по типу " сам себе реферал ") | Защита от накруток ( по типу " сам себе реферал ")
partner_text_1 | Я получаю +3% если мой постоянный депозит не менее ХХ1 и кол-во приглашенных более Х1 клиентов, и получаю 2% если мой постоянный депозит не менее ХХ1.1 и кол-во приглашенных более Х1.1 клиентов | Я получаю +3% если мой постоянный депозит не менее ХХ1 и кол-во приглашенных более Х1 клиентов, и получаю 2% если мой постоянный депозит не менее ХХ1.1 и кол-во приглашенных более Х1.1 клиентов
partner_text_2 | Саша получает +3% если его постоянный депозит не менее ХХ2 и кол-во приглашенных более Х2 клиентов | Саша получает +3% если его постоянный депозит не менее ХХ2 и кол-во приглашенных более Х2 клиентов
partner_text_3 | Саша получает +2% если его постоянный депозит не менее ХХ2.1 и кол-во приглашенных более  Х2.1 клиентов | Саша получает +2% если его постоянный депозит не менее ХХ2.1 и кол-во приглашенных более  Х2.1 клиентов
partner_text_4 | Маша получает 3% если ее постоянный депозит не менее ХХ3 суммы и кол-во приглашенных более Х3 клиентов | Маша получает 3% если ее постоянный депозит не менее ХХ3 суммы и кол-во приглашенных более Х3 клиентов
partner_text_4 | Маша получает + 2% если ее постоянный депозит не менее ХХ3.1 суммы и кол-во приглашенных более Х3.1 клиентов | Маша получает + 2% если ее постоянный депозит не менее ХХ3.1 суммы и кол-во приглашенных более Х3.1 клиентов
partner_text_6 | Если я пришел без реф ссылки и никого не пришлашаю то с моей чистой прибыли списывается 10% в счет компании на маркетинг | Если я пришел без реф ссылки и никого не пришлашаю то с моей чистой прибыли списывается 10% в счет компании на маркетинг
partner_text_7 | Кол-во приглашенных на каждом уровне неограничено. Соответсвенно кто пригласился с определенного уровня имеет права и обязоности этого уровня Т.е я могу по своей реф. ссылке пригласить 100 таких как Саша , а Саша по своей реф ссылке могут пригласить 200 таких как Маша | Кол-во приглашенных на каждом уровне неограничено. Соответсвенно кто пригласился с определенного уровня имеет права и обязоности этого уровня Т.е я могу по своей реф. ссылке пригласить 100 таких как Саша , а Саша по своей реф ссылке могут пригласить 200 таких как Маша
change_pass_fill_all_fields | Заполните все поля! | Заполните все поля!
change_pass_btn | Подтвердить | Подтвердить
change_pass_new_pass | Ваш новый пароль | Ваш новый пароль
change_pass_new_pass_confirm | Подтвердите пароль | Подтвердите пароль
change_pass_old_pass | Ваш старый пароль | Ваш старый пароль
change_pass_title | Смена пароля | Смена пароля
change_pass_data | Укажите ваши данные | Укажите ваши данные
restore_password | Восстановление пароля | Восстановление пароля
restore_password_enter_email | Укажи почту, на которую зарегистрирован аккаунт: | Укажи почту, на которую зарегистрирован аккаунт:
restore_password_btn | Восстановить пароль | Восстановить пароль
restore_password_error_1 | Пользователь с таким Email не найден! | Пользователь с таким Email не найден!
restore_password_not_equal | Пароли не совпадают | Пароли не совпадают
restore_password_length | Длина пароля должна быть больше 5 символов | Длина пароля должна быть больше 5 символовwrong_password
restore_text_email_1 | Для восстановления доступа к аккаунту crossceed.com, перейдите по ссылке ниже | Для восстановления доступа к аккаунту crossceed.com, перейдите по ссылке ниже
restore_text_email_2 | Ссылка для восстановления пароля | Ссылка для восстановления пароля
restore_email_subject | Восстановление пароля crossceed.com | Восстановление пароля crossceed.com
restore_pass_sended | Письмо отправлено | Письмо отправлено
restore_pass_instruction | Инструкция по восстановлению пароля отправлена на email | Инструкция по восстановлению пароля отправлена на email
restore_password_finished | Завершите восстановление пароля | Завершите восстановление пароля
restore_pass_new | Новый пароль | Новый пароль
restore_pass_new_confirm | Подтвердите новый пароль | Подтвердите новый пароль
restore_pass_too_small | Пароль должен быть больше 5 символов | Пароль должен быть больше 5 символов
restore_password_error_2 | Ошибка восстановления пароля, попробуйте еще раз | Ошибка восстановления пароля, попробуйте еще раз
restore_password_success_data | Пароль успешно изменен, попробуйте авторизоваться с новым паролем! | Пароль успешно изменен, попробуйте авторизоваться с новым паролем!
restore_password_link_not_work | Эта ссылка больше не действительна, попробуйте восстановить пароль ещё раз | Эта ссылка больше не действительна, попробуйте восстановить пароль ещё раз
registration_email_body | Аккаунт сознад. Для подтверждения Email адреса перейдите по ссылке ниже: | Аккаунт сознад. Для подтверждения Email адреса перейдите по ссылке ниже:
registration_email_body_confirm | Для подтверждения Email адреса перейдите по ссылке ниже: | Для подтверждения Email адреса перейдите по ссылке ниже:
registration_email_body_link_text | Подтвердить Email | Подтвердить Email
confirm_email_title | Email подтвержден | Email подтвержден
confirm_email_text | Спасибо, что подтвердили Email, теперь Вам доступно большинство функций сервиса | Спасибо, что подтвердили Email, теперь Вам доступно большинство функций сервиса
confirm_email_mistake | Ошибка подтверждения Email | Ошибка подтверждения Email
registration_email_confirm_sended | Письмо с ссылкой для подтверждения выслано на почту | Письмо с ссылкой для подтверждения выслано на почту
registration_email_confirm_text_1 | Ваш аккаунт зарегистрирован, но не подтвержден. На ваш адрес электронной почты было отправлено письмо со ссылкой для подтверждения вашей учетной записи. | Ваш аккаунт зарегистрирован, но не подтвержден. На ваш адрес электронной почты было отправлено письмо со ссылкой для подтверждения вашей учетной записи.
registration_email_confirm_text_2 | Внимание! Если письмо не пришло, проверьте папку со СПАМом | Внимание! Если письмо не пришло, проверьте папку со СПАМом
registration_email_confirm_text_3 | Не пришло письмо? | Не пришло письмо?
registration_email_confirm_text_4 | Выслать код повторно | Выслать код повторно
autotrade_problem_qwt | Неверное количество | Неверное количество
autotrade_problem_summ | Неверная сумма | Неверная сумма
autotrade_problem_balance | Недостаточно средств | Недостаточно средств
autotrade_email_footer | Вы можете увидеть больше информации на странице истории | Вы можете увидеть больше информации на странице истории
trade_limit_qwt | Достигнут предел дневного лимита по количеству сделок | Достигнут предел дневного лимита по количеству сделок
trade_wrong_profit | Парраметры сделки изменились, теперь она не прибыльная. Попробуйте создать другую сделку. | Парраметры сделки изменились, теперь она не прибыльная. Попробуйте создать другую сделку.
calculation_detail | Детальная информация | Детальная информация
withdrawal_ | Криптовалютные | Криптовалютные
withdrawal_ | Криптовалютные | Криптовалютные
withdrawal_ | Криптовалютные | Криптовалютные
